,0.019328585961342827
ars,0.002034587995930824
nch,0.001017293997965412
mav,0.001017293997965412
sgc,0.001017293997965412
buk,0.001017293997965412
afl,0.001017293997965412
blu,0.001017293997965412
top,0.001017293997965412
tea,0.001017293997965412
qFb,0.001017293997965412
raS,0.001017293997965412
csl,0.001017293997965412
war,0.001017293997965412
swl,0.001017293997965412
ten,0.001017293997965412
msw,0.001017293997965412
mad,0.001017293997965412
gua,0.001017293997965412
lae,0.001017293997965412
vis,0.001017293997965412
die,0.001017293997965412
hEr,0.001017293997965412
wzz,0.001017293997965412
pmb,0.001017293997965412
ebu,0.001017293997965412
pAS,0.001017293997965412
dix,0.001017293997965412
max,0.001017293997965412
cam,0.001017293997965412
dil,0.001017293997965412
cra,0.001017293997965412
hcs,0.001017293997965412
mye,0.001017293997965412
jmm,0.001017293997965412
guy,0.001017293997965412
tin,0.001017293997965412
mEn,0.001017293997965412
geJ,0.001017293997965412
peg,0.001017293997965412
eft,0.001017293997965412
xxe,0.001017293997965412
MKO,0.001017293997965412
six,0.001017293997965412
mda,0.001017293997965412
rcr,0.001017293997965412
aus,0.001017293997965412
txx,0.001017293997965412
dpt,0.001017293997965412
cor,0.001017293997965412
GJP,0.001017293997965412
krw,0.001017293997965412
rat,0.001017293997965412
sua,0.001017293997965412
ung,0.001017293997965412
spi,0.001017293997965412
sel,0.001017293997965412
chr,0.001017293997965412
byy,0.001017293997965412
tim,0.001017293997965412
eva,0.001017293997965412
pam,0.001017293997965412
psm,0.001017293997965412
upg,0.001017293997965412
poo,0.001017293997965412
cum,0.001017293997965412
amp,0.001017293997965412
zqm,0.001017293997965412
mik,0.001017293997965412
haz,0.001017293997965412
XAH,0.001017293997965412
hic,0.001017293997965412
