!,0.176651735722284431
@,0.153415453527435602
_,0.103956700261291529
$,0.071388577827547595
*,0.066909294512877943
-,0.063923105636431499
#,0.063363195222097796
;,0.037140724150802537
.,0.030141843971631204
&,0.029395296752519597
%,0.013811123553564763
 ,0.012038073908174692
+,0.012038073908174692
=,0.008491974617394550
^,0.006252332960059724
?,0.004945875326614408
/,0.004852556924225458
~,0.004106009705113848
",",0.003639417693169093
(,0.002426278462112729
),0.001866368047779022
`,0.000933184023889511
[,0.000839865621500560
],0.000653228816722658
\,0.000373273609555804
{,0.000186636804777902
|,0.000186636804777902
},0.000093318402388951
